binding_audit_id,form_id,route_form,expected_support_family_id,expected_support_measure_id,expected_walk_history_count,expected_retained_support_shell_count,expected_support_member_count,registry_binding_status,measure_binding_status,enumeration_completeness_status,read_only_binding_status,mass_recomputation_status,inverse_binding_status,canonical_identity_status,canonical_enumeration_mapping_status,closed_semantics_binding_status,global_packet_set_closure_status,cross_packet_binding_status,failure_reasons,binding_audit_row_sha256
form_3_3_6_cross_packet_binding_audit,form_3_3_6,3:3:6,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,27,3,30,passed,passed,passed,passed,passed,passed,passed,passed,passed,passed,passed,,6f67fe9d27621c3149f91b2201a7afde787cc1272aff7e6a6d021be2aaff2643
form_3_4_6_cross_packet_binding_audit,form_3_4_6,3:4:6,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,64,4,68,passed,passed,passed,passed,passed,passed,passed,passed,passed,passed,passed,,578028456ee1f13ec5af66582aac7d02df642cd1556bc22ad68a2d7f64552b57
