enumeration_row_index,support_member_order,support_family_id,support_measure_id,form_id,route_form,member_class,member_class_order,support_member_id,history_word,history_length,direction_alphabet_size,support_shell_member_index,analysis_weight_num,analysis_weight_den,measure_num,measure_den,measure_exact,local_Q4_edge_status,row_time_semantics,target_value_input_status,support_member_row_sha256
82,52,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,52,form_3_4_6_walk_3_1_0,3.1.0,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,72d9ee18e9a7f0f236e94ffc53615c5f4c78a492173584890b00d78ede486d78
83,53,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,53,form_3_4_6_walk_3_1_1,3.1.1,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,00ebdeb54dfedc901666e0a3f0b0cd26ec380129147fa3bd862ddf4b9baae9a3
84,54,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,54,form_3_4_6_walk_3_1_2,3.1.2,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,880effaba7ad390c90a70e79d18907a577ed4a6d690afaca26d3bf1b3300643d
85,55,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,55,form_3_4_6_walk_3_1_3,3.1.3,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,6179bf26b98dfa25cb5708ac61a7ef31f1ce4ddb8d471043c842edde9337cd25
86,56,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,56,form_3_4_6_walk_3_2_0,3.2.0,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,6b00a7878b4a295e016730c0d165e406e022b90f4f437b7ec18cc886bda6063b
87,57,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,57,form_3_4_6_walk_3_2_1,3.2.1,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,bd26907a4ed14ba0a6a4d7b2ba39eba6afad71f9eded54d6e47b924526acff85
88,58,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,58,form_3_4_6_walk_3_2_2,3.2.2,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,71a6913c343686ef037053af90ea7e1ea85ccded74c9903db3c09fff5906942c
89,59,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,59,form_3_4_6_walk_3_2_3,3.2.3,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,7a26462cc80a853d6e6c4670b6794d27117ff7811f16b5ccd5aab271e7306bf1
90,60,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,60,form_3_4_6_walk_3_3_0,3.3.0,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,89748487d1b8ac7b9c24d3b3260135b26f6868e9edeabd0f37c05c43dac9ba11
91,61,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,61,form_3_4_6_walk_3_3_1,3.3.1,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,7a4b6cd4c475f64b7a5234e529b9f83c5c3f24cb208692f5d1c732999b1f15a4
92,62,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,62,form_3_4_6_walk_3_3_2,3.3.2,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,62c80e7980dd617db394f2f27b1a0d003ffcbee5f7e83488b259f300de630736
93,63,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,walk_history,63,form_3_4_6_walk_3_3_3,3.3.3,3,4,,1,1,1,68,1/68,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,db59b9a481236125bf393753619ce0cd164c7a25be79966c9c8292bd9bcb525e
94,64,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,retained_support_shell,0,form_3_4_6_support_shell_0,,0,4,0,1,1,1,68,1/68,retained_support_shell_member_not_local_successor_edge,non_temporal_support_family_enumeration,absent,3c89de0fef323f19c1f602369cc348ca4dfd0ab0b68c8ed8a83a81c6970c0eb4
95,65,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,retained_support_shell,1,form_3_4_6_support_shell_1,,0,4,1,1,1,1,68,1/68,retained_support_shell_member_not_local_successor_edge,non_temporal_support_family_enumeration,absent,5ffbb1544ac306baaf78ad2519dde67127aaa5ae342ca9fb5761bb5014597482
96,66,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,retained_support_shell,2,form_3_4_6_support_shell_2,,0,4,2,1,1,1,68,1/68,retained_support_shell_member_not_local_successor_edge,non_temporal_support_family_enumeration,absent,fbfa0cb2e6334ebf72397c3ea942b672958cf9ca67af9cf028f49428502e0113
97,67,form_3_4_6_support_family,form_3_4_6_uniform_support_family_measure,form_3_4_6,3:4:6,retained_support_shell,3,form_3_4_6_support_shell_3,,0,4,3,1,1,1,68,1/68,retained_support_shell_member_not_local_successor_edge,non_temporal_support_family_enumeration,absent,6236dd4550408b6b353c13e89776d36abe3aa32f41b9ccb5406de083a2f14d73
