kernel_order,kernel_id,occurrence_id,occurrence_packet_sha256,boundary_id,source_state_id,source_state_row_sha256,edge_slot_count,admitted_edge_count,normalizer_num,normalizer_den,probability_sum_num,probability_sum_den,incoming_mass_num,incoming_mass_den,outgoing_mass_num,outgoing_mass_den,mass_residual_num,mass_residual_den,inventory_subset_sha256,kernel_status,target_value_input_status,kernel_audit_row_sha256
0,H1_local_Q4_kernel_event_0,H1_00o8_native_occurrence_v1,08161d64adab50458d2bd749d5e85dc34c78f059c010c3f15572431efd629106,B_H1_00o8_local_Q4_direct_return,H1_q4_state_origin,67cfc6c5532f37fd9caf6938559996a9fc07d04cf23562eecb3ebef6df6e800e,4,1,1,1,1,1,1,1,1,1,0,1,366943231caf1e9c5ea70ebd94261743710cb3b96255e5f40cbee249fbc087e5,passed,absent,41dc8163fe000bc951b3de789b7b056de947fccf55ea683e1b2e53ee01489dca
1,H1_local_Q4_kernel_event_1,H1_00o8_native_occurrence_v1,08161d64adab50458d2bd749d5e85dc34c78f059c010c3f15572431efd629106,B_H1_00o8_local_Q4_direct_return,H1_q4_state_hinge,1ba08932b3aa7e5d94e38082e659fb455a7d16d97de083b9ff66796461b4e9dd,4,1,1,1,1,1,1,1,1,1,0,1,202c5823ba242c5ef2030624dde77d4ff05309db4918d372931e17f825b5e392,passed,absent,5a573c4ff04532df735ec9443ac759c1e86e68cd8e4cd71cc4217fc5d8fc937d
