counterfactual_order,counterfactual_id,mutation_class,expected_source_result,observed_source_result,observed_failure_reasons,source_counterfactual_audit_status,source_counterfactual_row_sha256
0,source_plan_generator_target_leak,source_plan_semantics,failed,failed,hydrogen_plan_generator_status_mismatch,passed,d9a64a814c1a0eb30bf1433d50b3b957276db1aabd123d0a2f84dfeb4992aee9
1,duplicate_H1_source_plan_row,source_plan_cardinality,failed,failed,hydrogen_plan_H1_row_count_mismatch;hydrogen_plan_duplicate_occurrence_id;hydrogen_plan_row_count_mismatch,passed,03499dc82b71c9d5cbe6b215783ce18a2baa9e33cb973c65b270d4d01e3a125c
2,core_target_input_present,prior_gate_source_semantics,failed,failed,core_occurrence_target_value_input_status_mismatch,passed,8d47699a0aefc72dc508728975b93264cbd36ed2bd19c244eee1dba60d2cb7c4
3,bip_retyped_as_metric_duration,temporal_type_semantics,failed,failed,temporal_registry_bip_type_mismatch,passed,b6fc93768bb8761192cbf7cfbb4c32f809c5e554841c0a7f81ae381f39c20e21
4,source_plan_unknown_target_field,source_schema_closure,failed,failed,source_h_plan_0_schema_key_set_mismatch,passed,894f8bea368ba118ccb43d100ee0145a4690e47631c2d04e92c9d1007b31a5be
5,support_policy_target_input_present,support_policy_semantics,failed,failed,support_policy_target_value_read_status_mismatch,passed,c3f0385a97abc56d1e82fb5900ac5b57e395d30e831be781dc484543e3132b5c
6,prior_gate_manifest_failed,prior_gate_chain,failed,failed,consequent_manifest_overall_gate_status_mismatch,passed,ec26438fbd06d52ce8039c992692a00b33eabda37a37cb7f78e6df50f04804f9
7,unchanged_source_control,control,passed,passed,,passed,10c799d97bb81f37e3d7d37d00067a1dcb69a15b89cc81948e714e6b37648a8a
