event_order,event_id,occurrence_id,occurrence_packet_sha256,boundary_id,window_id,source_state_id,source_state_row_sha256,target_state_id,target_state_row_sha256,source_epsilon_Q4,target_epsilon_Q4,edge_id,admitted_edge_row_sha256,edge_slot,xor_epsilon_Q4,hamming_distance,sigma_e,route_e_B,kernel_id,kernel_audit_row_sha256,execution_mode,P_num,P_den,incoming_mass_num,incoming_mass_den,outgoing_mass_num,outgoing_mass_den,mass_conservation_status,parent_event_id,executed_bip_token_count,row_time_semantics,support_family_member_reuse_status,target_value_input_status,execution_row_sha256
0,H1_DEC_event_outbound,H1_00o8_native_occurrence_v1,08161d64adab50458d2bd749d5e85dc34c78f059c010c3f15572431efd629106,B_H1_00o8_local_Q4_direct_return,omega_H1_two_event_direct_return,H1_q4_state_origin,67cfc6c5532f37fd9caf6938559996a9fc07d04cf23562eecb3ebef6df6e800e,H1_q4_state_hinge,1ba08932b3aa7e5d94e38082e659fb455a7d16d97de083b9ff66796461b4e9dd,0000,1000,H1_local_edge_evt0_slot0,b01dee6f3fe11028d66613d31c818699a4859f7a7393ebb1cf8357c1c04a17f8,0,1000,1,+1,outgoing,H1_local_Q4_kernel_event_0,41dc8163fe000bc951b3de789b7b056de947fccf55ea683e1b2e53ee01489dca,enumerate_all,1,1,1,1,1,1,passed,,1,executed_bip_token_not_temporal_magnitude,not_reused,absent,97eaba0f2ddae1b20d553f1c3e2b3d2513e1f3a272913c719b6f7dcc06698e15
1,H1_DEC_event_return,H1_00o8_native_occurrence_v1,08161d64adab50458d2bd749d5e85dc34c78f059c010c3f15572431efd629106,B_H1_00o8_local_Q4_direct_return,omega_H1_two_event_direct_return,H1_q4_state_hinge,1ba08932b3aa7e5d94e38082e659fb455a7d16d97de083b9ff66796461b4e9dd,H1_q4_state_origin,67cfc6c5532f37fd9caf6938559996a9fc07d04cf23562eecb3ebef6df6e800e,1000,0000,H1_local_edge_evt1_slot0,e922052a580bdb097368941d537710cb4dccaa1fd189bb170bacac15235e36d4,0,1000,1,-1,returned,H1_local_Q4_kernel_event_1,5a573c4ff04532df735ec9443ac759c1e86e68cd8e4cd71cc4217fc5d8fc937d,enumerate_all,1,1,1,1,1,1,passed,H1_DEC_event_outbound,1,executed_bip_token_not_temporal_magnitude,not_reused,absent,c6eb44e120af27e515486a4e35b40bf8496849bb1d7dfe51ae3bf6c00fa03afc
