execution_row_id,execution_row_index,row_role,row_time_semantics,identity_packet_id,identity_packet_sha256,occurrence_binding_id,occurrence_binding_sha256,construction_rule_id,construction_rule_sha256,boundary_id,boundary_card_sha256,window_id,fractal_octave_coordinate,stage_order,stage_id,kernel_id,kernel_sha256,execution_mode,source_state_id,target_state_id,parent_transition_id,parent_transition_ids,aggregation_rule_id,incoming_mass_num,incoming_mass_den,incoming_mass_semantics,kernel_probability_num,kernel_probability_den,outgoing_mass_num,outgoing_mass_den,mass_equation,mass_conservation_scope,target_observable_input_status,execution_row_sha256,freeze_status,read_only_execution_row_sha256
cs133_exec_left_0,0,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),1,left_branch,cs133_kernel_left_uniform4_v1,bb281f07822bdb8651f956a87d076742c1ba098627a2ed7fed374b8ec8cfb320,enumerate_all,cs133_structural_source,cs133_left_state_0,ROOT,ROOT,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,d49bf18035623f004417f987b540895a18a9e46c22402b21389130e96fd134d6,frozen_before_detection,6265a2344391d5cf4334f527a8a421148684b251c9be69b58b338535ce9c9be6
cs133_exec_left_1,1,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),1,left_branch,cs133_kernel_left_uniform4_v1,bb281f07822bdb8651f956a87d076742c1ba098627a2ed7fed374b8ec8cfb320,enumerate_all,cs133_structural_source,cs133_left_state_1,ROOT,ROOT,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,17cba3356acd61bebb7cdc09be8a2adccdee5cb0159449759f709db133fa54f5,frozen_before_detection,46b875b45f91b2a9820e20c98f2068b700be7f807545a467f3ab043f234ec589
cs133_exec_left_2,2,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),1,left_branch,cs133_kernel_left_uniform4_v1,bb281f07822bdb8651f956a87d076742c1ba098627a2ed7fed374b8ec8cfb320,enumerate_all,cs133_structural_source,cs133_left_state_2,ROOT,ROOT,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,f07b1220e357a7a8fcaaaa49d3c196808aea43d108241a693ccc30e74dab8d4d,frozen_before_detection,e4daf8d29c99825a98e6d23b8bf98963b18317cac413c46feb8e65cd09c01099
cs133_exec_left_3,3,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),1,left_branch,cs133_kernel_left_uniform4_v1,bb281f07822bdb8651f956a87d076742c1ba098627a2ed7fed374b8ec8cfb320,enumerate_all,cs133_structural_source,cs133_left_state_3,ROOT,ROOT,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,3c8f3166006d02b35a8edfa9ce11a9e79a91a2e20383964aea8f453d74ace377,frozen_before_detection,259b180792c1d88d6ccb4178fec2796a1f9ba7c039b3045b0f4b1b3fd1d5fbfc
cs133_exec_hinge_aggregate,4,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),2,hinge,cs133_kernel_hinge_identity_v1,7696f425baae8e62d546a78c8d331188ce8405f84f4cef50525ff1d9e57c4ddd,enumerate_all,cs133_left_branch_aggregate,cs133_hinge_state,cs133_exec_left_0;cs133_exec_left_1;cs133_exec_left_2;cs133_exec_left_3,cs133_exec_left_0;cs133_exec_left_1;cs133_exec_left_2;cs133_exec_left_3,sum_parent_outgoing_mass,1,1,sum_of_parent_transition_outgoing_mass,1,1,1,1,1/1*1/1=1/1,aggregation_and_stage,absent,4a4dae6db5bcb96365869ef74c6fdb98a7fdd7424a489791340089ce4b065f3a,frozen_before_detection,c03a94dbb92ef2f179fca405408152ce143cfe515228ad8627dd6ce395cdb96a
cs133_exec_right_0,5,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),3,right_branch,cs133_kernel_right_uniform4_v1,860c409f4eea086329bde9f6ed7ce0edb90ba02cc3bb62e49bb12d7f5bdc81b9,enumerate_all,cs133_hinge_state,cs133_right_state_0,cs133_exec_hinge_aggregate,cs133_exec_hinge_aggregate,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,02bd0ffe2cd29751a28f7a975013e60046912d3fa264fb8f13f023507f78d106,frozen_before_detection,f84b43e8ea16d0e4ce92c3e398dda9bb97429bd9f130e54e0772202ac719fce6
cs133_exec_right_1,6,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),3,right_branch,cs133_kernel_right_uniform4_v1,860c409f4eea086329bde9f6ed7ce0edb90ba02cc3bb62e49bb12d7f5bdc81b9,enumerate_all,cs133_hinge_state,cs133_right_state_1,cs133_exec_hinge_aggregate,cs133_exec_hinge_aggregate,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,ef14446a533e971771dc20ff339a26add9629d1c1c9c58826e90c1a3dcaf5fea,frozen_before_detection,39fee8b330afe61493f3ddbb7a599937f982aa58f9eeabbbd99a360f909b4c6f
cs133_exec_right_2,7,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),3,right_branch,cs133_kernel_right_uniform4_v1,860c409f4eea086329bde9f6ed7ce0edb90ba02cc3bb62e49bb12d7f5bdc81b9,enumerate_all,cs133_hinge_state,cs133_right_state_2,cs133_exec_hinge_aggregate,cs133_exec_hinge_aggregate,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,4ca63f354578a4886d4a2e84eb701e8c5be3264280f0085bfa4d175c43d47ad9,frozen_before_detection,94f36ba81e615249abf80d368cd82993b10c7e1b40686685713fe772ffac3c4d
cs133_exec_right_3,8,canonical_enumerate_all_mass_propagation,non_temporal_structural_execution,cs133_identity_Z55_A133_N78,894f71f8b28ad7ec43ab844370d85853ad040cf8be46814bad40d3b13f069607,cs133_elementary_occurrence_00o8,4ef6bd3b07adf7c0a0002e0ed14902da9fd95ef20c4fef1e6de6a2bc8fa46382,elementary_00o8_bip_monon_Q4_occurrence_v2,7c222fab487138fb46251800b7ad75655a81e3e5ac4394b0ffdb550868cf9ed4,B_Cs_structural_scope,2e5fb32a38050b3ce62a209dcf58ad978324902861e4791ee7f9bf18b0593592,omega_Cs_structural_6slot,00_(8),3,right_branch,cs133_kernel_right_uniform4_v1,860c409f4eea086329bde9f6ed7ce0edb90ba02cc3bb62e49bb12d7f5bdc81b9,enumerate_all,cs133_hinge_state,cs133_right_state_3,cs133_exec_hinge_aggregate,cs133_exec_hinge_aggregate,none,1,1,source_state_mass_shared_by_alternative_pool,1,4,1,4,1/1*1/4=1/4,stage_sum,absent,7da7131d0884382a6ec3749c0f8bb9b474e8cc22baff059b88036bb2cf04d0a0,frozen_before_detection,748892d1557f9c2f5268169bd12467c97404f61d32c220480c52d918b0b09f3f
